Taxon	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
D_0__Bacteria;D_1__Chlamydiae	0.000576163	0.000279054	0.000308015	0.000936705	0.001211966	0.001052315	0	0.000246813	0.00062786	0.0001915	0.000398334	0.000748346	0.000643507	0.000325555	0.000976248	0.000483481	0.001265075	0.000394966	0.000578077	0.000764346	0.000686804	0.000502673	0.000930669	0.000759278	0.000466612	0.000519918	0.00034296	0.000723102	0.00062812	0.000529365
D_0__Bacteria;D_1__Chlorobi	0.000448368	0.000455789	0.000577528	0.00080289	0.000453256	0.000490553	0	0.001025222	0.001082056	0.000657312	0.000929445	0.000816377	0.001016554	0.002127734	0.000529667	0.000366274	0.000640972	0.000354108	0.001862693	0.000776105	0.001072255	0.000578836	0.001452752	0.000617299	0.000641592	0.000192144	0.000604693	0.001471138	0.001974092	0.000470547
D_0__Bacteria;D_1__Chloroflexi	0.001101064	0.001581307	0.000741161	0.00209086	0.002601293	0.001028579	0	0.001946024	0.001583008	0.002810399	0.001394168	0.001428661	0.002135696	0.001104561	0.002045967	0.002168339	0.002513283	0.002097407	0.002578407	0.0019873	0.001864181	0.002665692	0.001324122	0.001246944	0.002566367	0.001073744	0.002870036	0.002568258	0.003148758	0.000411728
D_0__Bacteria;D_1__Cyanobacteria	9.75E-05	1.86E-05	5.78E-05	0	3.94E-05	6.33E-05	0	9.49E-06	2.67E-05	2.59E-05	8.30E-05	5.67E-05	0	4.65E-05	0.000124627	0	1.69E-05	8.17E-05	0	1.00E-04	0.000168197	0.000228488	0.00010593	4.32E-05	1.67E-05	2.83E-05	2.71E-05	0.000124673	4.89E-05	0.000411728
D_0__Bacteria;D_1__Deinococcus-Thermus	0.000151622	9.30E-06	9.63E-06	1.67E-05	0	7.91E-06	0	0	0	1.04E-05	8.30E-05	4.54E-05	0	2.33E-05	0	5.86E-05	0	0	1.84E-05	5.88E-06	2.10E-05	7.62E-05	9.84E-05	1.23E-05	8.33E-06	1.13E-05	2.71E-05	7.48E-05	0	0.00035291
D_0__Bacteria;D_1__Elusimicrobia	0.007347165	0.01395271	0.005101501	0.00767764	0.004473435	0.001178909	0.00661157	0.005914014	0.011281435	0.005346486	0.004116114	0.006281571	0.009997668	0.004046182	0.001942111	0.00373599	0.015889348	0.002737525	0.007799453	0.003774694	0.004513281	0.003533946	0.008247391	0.005284081	0.006424251	0.008239569	0.00284296	0.002119436	0.000929944	0.000235273
D_0__Bacteria;D_1__FBP	4.69E-05	0.000130225	0.00021176	0.000150542	9.85E-05	3.16E-05	0	9.49E-05	0.000394082	0.000113865	0.000165972	3.97E-05	0.000139893	0.000302301	7.27E-05	5.86E-05	0.000101206	0.000190673	0.000284451	1.18E-05	0.000161189	0.00018279	0.000348055	0.000166671	0.000116653	0.000243005	0.000135379	0.000448822	5.71E-05	0.000176455
D_0__Bacteria;D_1__FCPU426	7.80E-05	0.000427883	3.85E-05	6.69E-05	0.000354722	4.75E-05	0	0.000246813	2.00E-05	0.000605556	6.64E-05	6.80E-05	0.000102588	8.14E-05	0.000197327	7.33E-05	0.000236147	0.000245151	3.67E-05	0.00014699	6.31E-05	3.05E-05	7.57E-05	0.000302477	0.000191644	4.52E-05	0.00017148	0.000124673	0.000530231	8.82E-05
D_0__Bacteria;D_1__Fibrobacteres	1.16E-05	2.79E-05	2.89E-05	3.35E-05	3.94E-05	6.33E-05	0	2.85E-05	2.00E-05	2.59E-05	6.64E-05	3.40E-05	5.60E-05	0.00011627	8.31E-05	0	0	0	0.000183517	6.47E-05	0.000147172	0	7.57E-06	2.47E-05	2.50E-05	4.52E-05	7.22E-05	0.000224411	2.45E-05	8.82E-05
D_0__Bacteria;D_1__Firmicutes	3.61E-06	9.30E-06	9.63E-06	0	9.85E-06	8.70E-05	0	4.75E-05	1.34E-05	4.14E-05	4.98E-05	1.70E-05	9.33E-06	0	4.15E-05	1.47E-05	1.69E-05	5.45E-05	4.59E-05	0.000341016	0.000105123	0	7.57E-06	4.32E-05	4.17E-05	0	5.42E-05	0.000573495	0.001965935	5.88E-05
D_0__Bacteria;D_1__Fusobacteria	0.000311186	0.000186036	8.66E-05	5.02E-05	0.000246335	4.75E-05	0	0.000208842	0.000240457	0.000383001	0.000248959	0.000192756	0.000214502	0.000197658	0.00025964	0.000234415	0.00101206	5.45E-05	2.75E-05	8.23E-05	0.000182213	0.000228488	0.000136195	0.000209882	0.000366624	0.000209097	0.000469314	9.97E-05	8.16E-05	2.94E-05
D_0__Bacteria;D_1__Gemmatimonadetes	7.44E-05	6.51E-05	1.93E-05	0.000167269	4.93E-05	0.000118682	0	1.90E-05	0.00010687	5.69E-05	1.66E-05	7.37E-05	0	3.49E-05	5.19E-05	4.40E-05	3.37E-05	4.09E-05	7.34E-05	8.82E-05	2.80E-05	6.09E-05	7.57E-06	5.56E-05	3.33E-05	2.26E-05	2.71E-05	4.99E-05	0.000106046	2.94E-05
D_0__Bacteria;D_1__Gracilibacteria	0	0	0	0	0	0.000245276	0	0	0	0	0	5.67E-06	0	0	0.000155784	0	0	0	9.18E-05	0.000229304	0	0	1.51E-05	0	0	0	0	0.000374018	0.000807583	2.94E-05
D_0__Bacteria;D_1__Hydrogenedentes	2.89E-06	0	0	1.67E-05	9.85E-06	2.37E-05	0	0	0	5.18E-06	0	0	0	1.16E-05	0	0	0	0	0	4.70E-05	1.40E-05	1.52E-05	1.51E-05	0	0	0	0	0	8.16E-06	2.94E-05
D_0__Bacteria;D_1__Ignavibacteriae	6.50E-06	0.000279054	1.93E-05	0	2.96E-05	7.91E-06	0	3.80E-05	1.34E-05	0.000129392	0	0.000102047	0	0	1.04E-05	0	0.000185544	0	2.75E-05	5.88E-06	3.50E-05	0	0	6.79E-05	0	1.13E-05	9.03E-06	0	2.45E-05	2.94E-05
D_0__Bacteria;D_1__Latescibacteria	9.60E-05	0.00010232	4.81E-05	0.000117088	0	0.000142419	0	0.000104421	4.01E-05	0.00030019	0.000199167	6.80E-05	2.80E-05	0.000197658	0.000321954	5.86E-05	3.37E-05	2.72E-05	0.00022022	0.000129351	0.000182213	3.05E-05	5.30E-05	6.79E-05	0.000158315	1.70E-05	5.42E-05	0.000224411	0.000138676	2.94E-05
D_0__Bacteria;D_1__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Microgenomates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Nitrospirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Omnitrophica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__PAUC34f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Parcubacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Peregrinibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__RBG-1 (Zixibacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__RsaHf231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__SBR1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__SR1 (Absconditabacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Spirochaetae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__TM6 (Dependentiae)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Tectomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__WS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__WS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BHI80-139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__BRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__FBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__FCPU426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GAL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GN02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GN04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__GOUTA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Kazan-3B-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__MVP-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__NC10	4.19E-05	0	0	0	0	0	0	0	0	0	0	5.67E-06	9.33E-06	0	0	0	0	2.72E-05	0	0	1.40E-05	6.09E-05	0.000378321	0	0	1.13E-05	0	0	0	0
k__Bacteria;p__NKB19	0	6.51E-05	0	6.69E-05	3.94E-05	0	0	0	2.00E-05	1.55E-05	0	6.24E-05	3.73E-05	0	0	0	1.69E-05	4.09E-05	2.75E-05	0	7.01E-06	0	5.30E-05	6.17E-06	4.17E-05	0	0	2.49E-05	0	0
k__Bacteria;p__Nitrospirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57E-06	0	0	0	0	0	0	0
k__Bacteria;p__OD1	0	0	0	0	0	0	0	0	1.34E-05	0	0	0	0	0	1.04E-05	0	0	0	0.000100934	2.94E-05	7.01E-06	0	7.57E-05	0	8.33E-06	3.39E-05	0	0.000149607	0.000513917	0
k__Bacteria;p__OP11	3.47E-05	3.72E-05	5.78E-05	5.02E-05	4.93E-05	3.16E-05	0	0.000113914	4.68E-05	7.76E-05	6.64E-05	1.70E-05	5.60E-05	4.65E-05	3.12E-05	5.86E-05	5.06E-05	1.36E-05	2.75E-05	2.35E-05	0.000161189	3.05E-05	9.08E-05	3.70E-05	5.00E-05	1.13E-05	8.12E-05	7.48E-05	8.97E-05	0
k__Bacteria;p__OP3	0	0	2.89E-05	0	0	7.91E-06	0	0	0	0	0	0	0	1.16E-05	0	0	0	0	0	0	0	0	7.57E-06	4.32E-05	0	0	1.81E-05	0	2.45E-05	0
k__Bacteria;p__OP8	0	2.79E-05	0	1.67E-05	0	0	0	6.64E-05	5.34E-05	5.18E-06	0	3.97E-05	1.87E-05	6.98E-05	0	0	0	0	0	0	0	0	7.57E-06	1.85E-05	0	5.65E-06	0	0	0	0
k__Bacteria;p__PAUC34f	2.02E-05	9.30E-06	0	5.02E-05	9.85E-06	0	0	9.49E-06	0	0	0	1.70E-05	5.60E-05	0	0	0	0	1.36E-05	3.67E-05	0	0	0	0	0	8.33E-06	0	0	0	0	0
k__Bacteria;p__Planctomycetes	0	5.58E-05	0	1.67E-05	0	7.91E-06	0	0	4.68E-05	0	0	0	1.87E-05	0	0	0	0	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128629	0	0	0	0	0	0	0
k__Bacteria;p__SBR1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.18E-06	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__SR1	0	9.30E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes	0	0	0	0	9.85E-06	0	0	0	0	0	0	0	0	0	2.08E-05	0	0	0	0	0	0	0	0	6.17E-06	0	0	0	0	0	0
k__Bacteria;p__TM6	0	0	0	0	0	0	0	0	6.68E-05	0	0	0	2.80E-05	0	0	0	0	0	0	0	0	0	7.57E-06	0	0	0	0	0	0	0
k__Bacteria;p__TM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-05	0	0	0	0
k__Bacteria;p__Tenericutes	0	0	0	0	1.97E-05	0	0	0	4.01E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Verrucomicrobia	0	0	0	3.35E-05	0	0	0	0	6.68E-05	0	3.32E-05	0	9.33E-06	0.00026742	0	0	0	0	0	0	0	4.57E-05	1.51E-05	2.47E-05	0	1.13E-05	9.03E-06	0	0	0
k__Bacteria;p__WPS-2	1.73E-05	0	0	0	0	0	0	0	0	0	3.32E-05	0	0	0	3.12E-05	0	0	0	0	0	0	0	1.51E-05	0	0	0	0	0	0	0
k__Bacteria;p__WS1	0.000171838	0.000297658	2.89E-05	0.000133815	0.000147801	0.000292749	0	9.49E-05	6.68E-05	0.000160446	0	1.70E-05	0	0.000139524	1.04E-05	0.002432056	0.000185544	8.17E-05	6.42E-05	4.12E-05	4.20E-05	0.000426511	1.51E-05	5.56E-05	0.001141533	0.000214749	0.000207581	2.49E-05	0.000864685	0
k__Bacteria;p__WS2	7.22E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51E-05	0	0	0	0	0	0	0
k__Bacteria;p__WS3	2.17E-06	0	4.81E-05	3.35E-05	0	4.75E-05	0	3.80E-05	0	1.04E-05	0	6.24E-05	0	1.16E-05	2.08E-05	2.93E-05	3.37E-05	1.36E-05	3.67E-05	5.88E-06	2.80E-05	9.14E-05	0	6.17E-06	8.33E-06	0	1.81E-05	2.49E-05	1.63E-05	0
k__Bacteria;p__WS4	0	0	0	0	0	0	0	0	6.68E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32E-05	0	0	5.65E-06	0	0	0	0
k__Bacteria;p__[Thermi]	1.44E-06	0	0	0	0	7.91E-06	0	1.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57E-06	6.17E-06	0	0	0	0	0	0
